SKU,Name,Length,Width,Height,Weight,URL
00484253,"IKEA 365+Sauté pan, stainless steel,24 cm",45.0,26.0,9.0,1.33,https://www.ikea.com/nl/en/p/00484253/
00484955,"REMSTAArmchair, Djuparp dark green-blue",70.0,64.0,34.0,13.32,https://www.ikea.com/nl/en/p/00484955/
00484917,"BILDPoster, Flower unicorn,40x50 cm",52.0,42.0,0.0,0.18,https://www.ikea.com/nl/en/p/00484917/
00484880,"FORSANDDoor, white stained oak effect,25x195 cm",204.0,25.0,2.0,7.0,https://www.ikea.com/nl/en/p/00484880/
00485101,"ELLOVENMonitor stand with drawer, anthracite",49.0,26.0,11.0,2.74,https://www.ikea.com/nl/en/p/00485101/
00485040,"BODBYNGlass door, off-white,40x100 cm",110.0,42.0,2.0,4.53,https://www.ikea.com/nl/en/p/00485040/
00485224,"RIDSPÖDesk, oak,140x70 cm",143.0,73.0,17.0,37.02,https://www.ikea.com/nl/en/p/00485224/
00486327,"GURSKENChest of 3 drawers, light beige,69x67 cm",76.0,39.0,11.0,16.35,https://www.ikea.com/nl/en/p/00486327/
00486290,"BAXNAOrganiser, grey/white,26x34x18 cm",35.0,27.0,2.0,0.32,https://www.ikea.com/nl/en/p/00486290/
00486129,"KNOXHULTCorner base cabinet, white,100x91 cm",128.0,63.0,9.0,53.2,https://www.ikea.com/nl/en/p/00486129/
00486233,"BERGMUNDChair cover, medium long, Nolhaga grey/beige",22.0,18.0,6.0,0.62,https://www.ikea.com/nl/en/p/00486233/
00486643,"SIDORNA2-piece T-connectors set, grey",20.0,13.0,2.0,0.17,https://www.ikea.com/nl/en/p/00486643/
00487609,"STORSLINGALED chandelier, 8-armed, black/white,70 cm",40.0,35.0,11.0,1.65,https://www.ikea.com/nl/en/p/00487609/
00487831,"IDANÄSBookcase, dark brown stained,81x39x211 cm",191.0,40.0,11.0,54.1,https://www.ikea.com/nl/en/p/00487831/
